conf_tier,n_bets,win_pct,roi,expected_roi,profit_units,profit_factor,max_drawdown,sharpe
Elite,1,1.0,1.0,,1.0,inf,0.0,
Moderate,610,0.5,-0.0727683357997334,0.08008843237709166,-44.38868483783737,0.8544633284005333,-58.82086859867154,-1.916232426162827
Strong,150,0.5733333333333334,0.02971307903528217,0.07641329203682595,4.456961855292326,1.0696400289889425,-10.345635895635896,0.4000284817271017
