feature,vif
epa_diff,inf
home_off_epa_play_form,inf
home_def_epa_play_form,inf
away_off_epa_play_form,inf
away_def_epa_play_form,inf
spread_line,60.73218778523855
market_home_prob,56.38892531730874
dvoa_proxy_diff,37.352066318135535
composite_adv,32.21920702357313
home_off_success_form,6.406074350966247
away_off_success_form,6.122021369651623
home_def_success_form,4.874789025988703
away_def_success_form,4.84666436986785
home_elo_pre,4.654736618722936
away_elo_pre,4.397570611436043
home_sos,2.6795517182893676
away_sos,2.6579886989585777
home_off_third_down_rate_form,2.6140804488741387
away_off_third_down_rate_form,2.5264708570553314
home_turnover_diff_form,2.2591811363898313
away_turnover_diff_form,2.1215819812723704
home_off_explosive_rate_form,1.8146496395088298
away_off_explosive_rate_form,1.7764936733915524
home_def_pressure_rate_form,1.776167322444869
home_sack_rate_diff_form,1.6991985139192847
home_injury_impact,1.6820352205081979
away_sack_rate_diff_form,1.6362986046834735
home_qb_injury,1.6286095086200565
away_def_pressure_rate_form,1.6096098581363107
away_def_explosive_rate_form,1.5862753914412593
away_injury_impact,1.5662945174375893
away_qb_injury,1.5513610703819953
home_def_explosive_rate_form,1.5288128886439791
home_off_rz_td_rate_form,1.3769614321488515
away_off_rz_td_rate_form,1.361252206809905
rest_diff,1.1628193663221427
is_dome,1.1085021138798554
temp,1.0837458019503399
hfa,1.0504662845978248
wind,1.0385583368985614
