season,n_games,su_accuracy,brier,log_loss,calibration_ece,ats_n_bets,ats_win_pct,ats_roi,ats_expected_roi,ats_profit_units,ats_profit_factor,ats_max_drawdown,ats_sharpe
2021,284,0.6267605633802817,0.27212998523517773,0.8344575474650381,0.1964444833309271,209,0.507177033492823,-0.003531995032392325,,-0.7381869617699959,0.992833136293495,-18.307821091746543,-0.05192848346208826
2022,282,0.5957446808510638,0.2538783082851465,0.7507004872515282,0.16701053045012537,160,0.45625,-0.10493660517202605,,-16.78985682752417,0.8070131399135154,-21.919929605989314,-1.357330120675072
2023,285,0.5964912280701754,0.25893191809645444,0.743908577948216,0.11639859186777077,130,0.49230769230769234,-0.062283515801223564,,-8.096857054159063,0.8773203476642567,-16.90148901018466,-0.7455790288626544
2024,285,0.6491228070175439,0.22954689375311604,0.6616165692570333,0.086205530894214,149,0.5167785234899329,-0.015498517642654247,,-2.309279128755483,0.9679266787672847,-10.429430443637823,-0.19865450400447235
2025,284,0.6302816901408451,0.22848512134643567,0.6532921840454233,0.10193020826405921,162,0.5308641975308642,0.011354790829584368,,1.8394761143926677,1.0242036330841138,-13.246763703285442,0.15191771892787323
