conf_tier,n_bets,win_pct,roi,expected_roi,profit_units,profit_factor,max_drawdown,sharpe
Elite,709,0.5796897038081805,-0.05267979931225156,0.18017484028160438,-37.349977712386355,0.8746645043208512,-50.00992257025733,-1.6460208866573218
Moderate,780,0.5294871794871795,-0.020228389845531807,0.1646277129838925,-15.77814407951481,0.957007781799687,-33.84096827433954,-0.6035007562295928
Strong,662,0.527190332326284,-0.0686849678110625,0.18815709195168936,-45.46944869092337,0.8547301958756441,-51.86245751089437,-1.9411362466030566
