season,week,n_games,su_accuracy,brier,log_loss,calibration_ece
2021,1,16,0.4375,0.38480668430709464,1.2212876229825163,0.45555602292770736
2021,2,16,0.5,0.28481095206694695,0.7876861299463881,0.3517870838238343
2021,3,16,0.5,0.31420359205595905,0.8986622750176043,0.3271138548000203
2021,4,16,0.5625,0.38491939847918577,1.1846426271032433,0.47080348266466043
2021,5,16,0.875,0.13287570607944427,0.4306951838052637,0.19089425080628597
2021,6,14,0.6428571428571429,0.2809923198766095,0.8697777787142288,0.3438575035975501
2021,7,13,0.7692307692307693,0.16361345907673755,0.4515677409006795,0.2131062186297102
2021,8,15,0.4666666666666667,0.3678700536049548,1.2308310120125312,0.45621352474509186
2021,9,14,0.6428571428571429,0.3102396709809314,1.0131877064193993,0.41317640984789605
2021,10,13,0.5384615384615384,0.35587396033383106,1.0144806510680597,0.40136660579882105
2021,11,15,0.7333333333333333,0.25737409543358175,0.903371794571468,0.31465796561950926
2021,12,15,0.4,0.3831339678788476,1.0530283225733061,0.46127298943428396
2021,13,14,0.7142857142857143,0.2005456649517608,0.6581165425395367,0.2733250647478013
2021,14,14,0.7857142857142857,0.11540365582811996,0.35850320022112914,0.19126887806405737
2021,15,16,0.6875,0.2571632347178546,0.7902582680521093,0.259703972889306
2021,16,16,0.8125,0.16168587511432292,0.5028657585471652,0.14770769235763967
2021,17,16,0.6875,0.1992532705594962,0.6558283195924266,0.24578901800733097
2021,18,16,0.6875,0.2836503436164842,0.898440226839211,0.37033806488883364
2021,19,6,0.5,0.2500464510293281,0.6778808083993072,0.36499138123672065
2021,20,4,0.5,0.3671140537493992,1.0077574003118401,0.45280528718918794
2021,21,2,0.0,0.6408202636307737,1.733461176255184,0.7932858750974493
2021,22,1,1.0,0.0010888773846945063,0.033554862269099275,0.032998142140043374
2022,1,15,0.4666666666666667,0.2892808895847056,0.8252027199479481,0.3351592414682604
2022,2,16,0.375,0.33273854432451205,1.1512352690719818,0.43409953404081475
2022,3,16,0.5,0.3266138691123628,1.0133214202332923,0.35351722495211585
2022,4,16,0.75,0.21343937281280706,0.5954641461281345,0.3145548483189498
2022,5,16,0.4375,0.29461471812340495,0.8974957136623447,0.36487189223042227
2022,6,14,0.2857142857142857,0.39830283982936937,1.1458810817972955,0.48126791272765035
2022,7,14,0.6428571428571429,0.294883783630414,0.9479342718455265,0.29962025304441786
2022,8,15,0.7333333333333333,0.1697497184117944,0.5116205543814377,0.23482809914073594
2022,9,13,0.38461538461538464,0.3285306358671389,0.8816960129723731,0.3443381817965802
2022,10,14,0.5714285714285714,0.30035043537023093,0.8237416611630456,0.35854065793338097
2022,11,14,0.7857142857142857,0.1550369860598227,0.46949132008635663,0.17082820587771994
2022,12,16,0.8125,0.13286566657782023,0.3972432774347601,0.13223449992768993
2022,13,14,0.6428571428571429,0.18309505342853044,0.5271411106911824,0.19554994515722737
2022,14,13,0.5384615384615384,0.2835752744519922,0.7715325987611968,0.3126752716754022
2022,15,16,0.75,0.22605980870761955,0.7217339179605223,0.31292957250803055
2022,16,16,0.6875,0.18360752218783935,0.5340090254454655,0.21984910439171607
2022,17,15,0.7333333333333333,0.19518525398490874,0.5600184086699237,0.2365464263193403
2022,18,16,0.625,0.2591877875016723,0.7227827983049253,0.321098107121901
2022,19,6,0.6666666666666666,0.1380452352602643,0.40394387943928983,0.29426345145670024
2022,20,4,0.5,0.40328936363209145,1.2020512854742824,0.4330742823630327
2022,21,2,0.5,0.29285969477072127,0.7799463963724683,0.538847749551942
2022,22,1,0.0,0.6465159108843158,1.6299576660965558,0.8040621312338467
2023,1,16,0.4375,0.29995833981333647,0.8303146055426553,0.39165914222430387
2023,2,16,0.8125,0.14864404658547903,0.4608115177327535,0.1481374473726898
2023,3,16,0.6875,0.2837359288006854,0.8696509228581757,0.32940594861524763
2023,4,16,0.75,0.1974967994164401,0.5686214932006644,0.2880551359661799
2023,5,14,0.5,0.3047929650514596,0.8312213660565388,0.3045775060552885
2023,6,15,0.6666666666666666,0.1646057155280398,0.48250317080864286,0.14854731440427754
2023,7,13,0.3076923076923077,0.41620399700811905,1.1174213627039629,0.4778150759208603
2023,8,16,0.75,0.1750997218531427,0.5300033114284919,0.18314407353210446
2023,9,14,0.7857142857142857,0.14993562362058913,0.4745131383835827,0.22613184063373382
2023,10,14,0.5714285714285714,0.3006011935651807,0.8261838062765025,0.25855832823490116
2023,11,14,0.6428571428571429,0.20045833616261338,0.5567722297522969,0.28559932280095907
2023,12,16,0.5625,0.29654270470089283,0.8201714538004512,0.3292568504576909
2023,13,13,0.6153846153846154,0.24084420720389296,0.7563286679354675,0.2597011695210507
2023,14,15,0.4666666666666667,0.3497155493789534,1.027658337250838,0.3662161536287349
2023,15,16,0.75,0.22258126912741014,0.6551151211596681,0.2820828725810595
2023,16,16,0.25,0.4444867600873517,1.1773650419599857,0.49628878279853844
2023,17,16,0.75,0.23039925054565344,0.770476334753184,0.2685364463984756
2023,18,16,0.4375,0.2393408760955064,0.6694099789313304,0.3144478861726832
2023,19,6,0.3333333333333333,0.36811121127175134,0.9661620967624595,0.4136255799523486
2023,20,4,0.75,0.18828198078053032,0.5635249592220885,0.014307516160311784
2023,21,2,1.0,0.0685102606130314,0.28761631886817446,0.2439880488543773
2023,22,1,0.0,0.44673050713758616,1.1037625723946531,0.668379014584978
2024,1,16,0.5625,0.22840077410403167,0.6428247487403345,0.26792615581080403
2024,2,16,0.4375,0.3489097100745588,0.9508251466897663,0.32918765772405334
2024,3,16,0.75,0.2656951184466333,0.8187389321363112,0.3636397347654158
2024,4,16,0.5625,0.2679242719360784,0.7327125216642132,0.24587825391076665
2024,5,14,0.5714285714285714,0.2738062429883988,0.7978123566902056,0.29373274075565114
2024,6,14,0.7142857142857143,0.20666182474593256,0.6179032217050959,0.21410193084910917
2024,7,15,0.8,0.13956052145914255,0.4497175027281943,0.26806366343278176
2024,8,16,0.5625,0.2663096175600988,0.7289361886888791,0.2585673364013909
2024,9,15,0.6,0.23885786602920128,0.6737679558967511,0.2777288822501096
2024,10,14,0.5,0.3115185134377973,0.8405425986231133,0.2601814154183349
2024,11,14,0.5,0.25107059460424935,0.6908427917555597,0.26723055942397345
2024,12,13,0.6923076923076923,0.24496895209693637,0.7398415458019101,0.25982737819621327
2024,13,16,0.75,0.19198495649546332,0.567783632961562,0.21196958046718575
2024,14,13,0.8461538461538461,0.16125876719905965,0.4840682718546977,0.26501286182463096
2024,15,16,0.6875,0.18070242434028566,0.5246803003895995,0.2967281105770436
2024,16,16,0.625,0.20532656114358677,0.6003202394508276,0.27866341362968083
2024,17,16,0.75,0.17606439226285678,0.5323194722140036,0.155897678560161
2024,18,16,0.75,0.1686124409310221,0.4999293977826139,0.1822414870375897
2024,19,6,0.5,0.26310529051494896,0.6954481892176357,0.430302781718592
2024,20,4,0.75,0.2810491344207093,0.8980180377514821,0.38511862825587134
2024,21,2,1.0,0.09084787429780276,0.32074453916351164,0.257764883917303
2024,22,1,1.0,0.1774197895137063,0.5468195103801813,0.4212122855683418
2025,1,16,0.8125,0.18161465507060687,0.5514148029513375,0.26984329482627595
2025,2,16,0.75,0.15832806152794834,0.48136727222849535,0.1655713008026621
2025,3,16,0.625,0.2750021214648808,0.7683069458326405,0.4434112384670517
2025,4,15,0.7333333333333333,0.2292049316751538,0.6701680844435542,0.3538080049652823
2025,5,14,0.35714285714285715,0.4376618910194436,1.1683747646957587,0.5288803973986345
2025,6,15,0.5333333333333333,0.23782025156473272,0.6686064978076587,0.33380860571684207
2025,7,15,0.8,0.189455574590194,0.5865255296858234,0.30154818604647843
2025,8,13,0.7692307692307693,0.15796668220469118,0.48548812813565156,0.2443958651897537
2025,9,14,0.5,0.3012974527937354,0.849495871042727,0.346758421085629
2025,10,14,0.6428571428571429,0.19802029089887935,0.5621713087652094,0.31428825536881494
2025,11,15,0.6666666666666666,0.1842272662251437,0.5467788437220295,0.2837069902858693
