,composite_adv,epa_diff,dvoa_proxy_diff,home_off_epa_play_form,away_off_epa_play_form,home_def_epa_play_form,away_def_epa_play_form,home_off_success_form,away_off_success_form,home_def_success_form,away_def_success_form,home_off_explosive_rate_form,away_off_explosive_rate_form,home_def_explosive_rate_form,away_def_explosive_rate_form,home_off_rz_td_rate_form,away_off_rz_td_rate_form,home_off_third_down_rate_form,away_off_third_down_rate_form,home_def_pressure_rate_form,away_def_pressure_rate_form,home_sack_rate_diff_form,away_sack_rate_diff_form,home_turnover_diff_form,away_turnover_diff_form,home_sos,away_sos,home_elo_pre,away_elo_pre,rest_diff,hfa,is_dome,temp,wind,market_home_prob,spread_line,home_injury_impact,away_injury_impact,home_qb_injury,away_qb_injury
composite_adv,1.0,0.9149436699604766,0.9581404793134981,0.5090301212799163,-0.4611219824774445,-0.4162327878309332,0.39085769602884385,0.4598404145404076,-0.4131740779910466,-0.29105102592280524,0.2815431161112027,0.2923116711772722,-0.27732926236157773,-0.2927776270706334,0.2908472200735673,0.2243819961762549,-0.22605888434975205,0.42139334394941147,-0.3998274384774123,0.26702509143048037,-0.2424702600121189,0.3441892427599096,-0.33557845597304115,0.34267774543399065,-0.29581069734250987,-0.10125561908732103,0.10117546047028035,0.5895282143427413,-0.5753701352864357,0.08908974908147588,0.04031691629801078,-0.05084917145320588,0.036411979569716035,0.011422978093781868,0.8251277106668957,0.83176818113319,-0.12333230448908544,0.12433268657015048,-0.06275437885988357,0.12268106811635542
epa_diff,0.9149436699604766,1.0,0.9017094436215299,0.5247199891778019,-0.5068687335430677,-0.45747642948903533,0.45873715811931864,0.4077130367061086,-0.39426464664097877,-0.28726875961466036,0.28886658281933414,0.31286619092450946,-0.3404314583424464,-0.2887394342912558,0.309850155521742,0.16819478967345067,-0.18874813862149903,0.3877563090973794,-0.39012214198559314,0.23622456474015655,-0.19804795168512543,0.3215142011537082,-0.32223991520320255,0.39469933411763974,-0.3647539272328433,-0.2375214456882162,0.2493109956059186,0.5254949028468373,-0.5448294709631967,0.011358119661599074,0.004978763054417096,-0.04438104393424809,0.04175689515951211,0.009629089818014098,0.7610183576792403,0.770856331171972,-0.08317882443051558,0.09502331622762604,-0.05219069081113458,0.09507597526785717
dvoa_proxy_diff,0.9581404793134981,0.9017094436215299,1.0,0.45879213738576413,-0.4438148337738134,-0.43958466675405683,0.4192745270420896,0.42605797073609564,-0.40103361466876797,-0.33854209015642417,0.32328889216787926,0.2673769988909947,-0.2788593198461266,-0.30597588390649666,0.30310899092253585,0.18107322096324208,-0.1921988913142795,0.3592460841744577,-0.36633549314110675,0.24755523336415122,-0.24825627124549351,0.30340872301025645,-0.3251907262475985,0.2922323509923194,-0.25972359682025126,-0.03704046609140786,0.0368468805872591,0.5434697587124423,-0.545342365788459,0.02567455864568065,0.012115103991944678,-0.049087750515335475,0.04044206893160291,0.017383421031524654,0.7629616973307214,0.7737297491585677,-0.0731570383644516,0.09437907128750968,-0.03844880361804931,0.10068806795809919
home_off_epa_play_form,0.5090301212799163,0.5247199891778019,0.45879213738576413,1.0,0.09782187110100148,-0.04540851532622982,-0.005608391733340936,0.8543286351324242,0.07720311347530219,0.13068876460790957,0.027516341168195405,0.5957558735823039,0.038370798635221484,-0.1305159173920051,0.026633411101477395,0.4293556011685873,0.04265632109808385,0.730979691581298,0.046781066970200555,0.10526884739273239,0.05919101308938605,0.3836614945102044,0.07351377813611004,0.47688485934635955,0.07132897397552673,-0.30564903493234935,-0.09928389758375952,0.6716616470601484,0.04250881740921858,0.023298394273568803,0.006512578716709721,-0.010948632736060422,-0.0660141538633494,0.07608219961249936,0.49094971221350664,0.49635530125357974,-0.17802947181700665,-0.03152858172792687,-0.15833581932650687,0.027827891387617508
away_off_epa_play_form,-0.4611219824774445,-0.5068687335430677,-0.4438148337738134,0.09782187110100148,1.0,-0.0012053578940698349,-0.03562800477908398,0.08738070465548524,0.8594639868652613,0.018430580721573647,0.14710972952736648,0.042243629509106526,0.5942768610178742,-0.006028486384778644,-0.18101433678315898,0.09158296843903588,0.43180890378703607,0.06415907503526574,0.7237712384387261,0.06570642176993059,0.0625666072224919,0.05986907191698419,0.35224680722353846,0.035727683392963346,0.44602359225627514,-0.09452730545158386,-0.26558766989429966,0.07503065181726,0.6731388747587103,0.010900130114028787,-0.022576845345242093,0.019816129637029133,-0.08273945211302353,0.08648375598918398,-0.41796587039283434,-0.4232455296050519,-0.05344971661749787,-0.17656284529544175,-0.049392272824070944,-0.13890543358463756
home_def_epa_play_form,-0.4162327878309332,-0.45747642948903533,-0.43958466675405683,-0.04540851532622982,-0.0012053578940698349,1.0,0.06754222590087387,0.03953927187977818,-0.003799597464075723,0.793820170308277,0.05043104109182096,-0.03035840767269595,0.027885622932385636,0.499235815695003,0.09689060551164722,0.07163926580254996,0.0456093948543067,-0.05035372614560643,0.01724430366030068,-0.48688125462098536,-0.046705547355944496,-0.3419146412218109,-0.021304625414055728,-0.35573736633882025,-0.03378239827711504,0.33337559301556685,0.033195037625520084,-0.47906169527813375,-0.03499128057529548,-0.033919930278258764,0.0350331175644511,0.04801317872650065,0.018080351568062064,0.007626303573729129,-0.30494244637756496,-0.304865032377452,0.05498462164456099,0.024906709996224973,0.00039990806444422316,0.021185400663418674
away_def_epa_play_form,0.39085769602884385,0.45873715811931864,0.4192745270420896,-0.005608391733340936,-0.03562800477908398,0.06754222590087387,1.0,-0.009202214928899515,0.06209387493432029,0.039158736497873214,0.7958902205255133,-0.024484739161532956,-0.05253311244689514,0.027478135682829162,0.5091796147379356,0.023536281148755948,0.09293821882509226,-0.020528528996055166,-0.028749715924314793,-0.02769539371922607,-0.4616791754385439,-0.041026219360961146,-0.3824179069716179,-0.03801253681507741,-0.3738803499357563,0.07789254565155672,0.37033058499940935,-0.06773845481600947,-0.459702064827866,-0.02426952846579182,0.01119395894132279,-0.010838100393510549,0.09791803651585011,0.030433400660163108,0.24617689496113676,0.25455520364469364,0.02713290703247589,0.059016351414040706,0.02040648698039549,0.028711877568277016
home_off_success_form,0.4598404145404076,0.4077130367061086,0.42605797073609564,0.8543286351324242,0.08738070465548524,0.03953927187977818,-0.009202214928899515,1.0,0.0730785650744261,0.19735615507494103,0.012666120743552367,0.4526919253367047,0.015758639300887188,-0.10566274687292358,0.018484377977827458,0.4407421274158193,0.040324000786446206,0.6888622326785034,0.058323388999612966,0.07052011063156752,0.05384090959000924,0.32243580879503364,0.07103168062439183,0.24827258899041854,0.058564887472624484,-0.17827550841145023,-0.09679902071599722,0.586414838256366,0.03558804670790065,0.027144088804211684,-0.030892414173031534,0.0013748730065915385,-0.018579210992256904,0.05945105358442214,0.4419078540663226,0.4455252960021531,-0.1742554835296708,-0.025463375302772977,-0.16433208070869404,0.02263682835512803
away_off_success_form,-0.4131740779910466,-0.39426464664097877,-0.40103361466876797,0.07720311347530219,0.8594639868652613,-0.003799597464075723,0.06209387493432029,0.0730785650744261,1.0,0.01793899076890189,0.223565545467812,0.033693573718033006,0.4608924314459831,-0.012978069347973364,-0.16825843030009993,0.08415334087513836,0.4354905687009659,0.042735214818960754,0.6833709185431643,0.06336573331424704,0.013527593529576847,0.06224298646539934,0.25481320527960344,0.020049180266603208,0.22862232352362605,-0.07856842112163581,-0.18328338146595755,0.060705345264295746,0.5678487536591411,0.005424696826834394,-0.03286744888947391,0.005383068936616175,-0.050072358977069145,0.08662683842428341,-0.368900449170206,-0.3709242750262454,-0.03203132185410418,-0.1732672183585631,-0.03355745391263591,-0.12786497766029462
home_def_success_form,-0.29105102592280524,-0.28726875961466036,-0.33854209015642417,0.13068876460790957,0.018430580721573647,0.793820170308277,0.039158736497873214,0.19735615507494103,0.01793899076890189,1.0,0.04307610995152131,0.05889340119101767,0.013364824803710602,0.3675944487138279,0.06911230761118047,0.09767169591987201,0.03775665678676313,0.10028396065553545,0.022266222883778504,-0.4524484639533268,-0.023073180377185268,-0.19638011522111035,0.002602889928438131,-0.06820929512105992,-0.005351792522356366,0.2577365408094198,-0.01183404527263491,-0.28256000716754087,-0.03579627531481831,-0.038183043323947015,0.030346070188780484,0.09685977424386394,0.02229572658353446,-0.011296078340872326,-0.1744392286070622,-0.17047833245084137,-0.017618313481243538,0.023238790283307182,-0.01713501330677013,0.00334890659180017
away_def_success_form,0.2815431161112027,0.28886658281933414,0.32328889216787926,0.027516341168195405,0.14710972952736648,0.05043104109182096,0.7958902205255133,0.012666120743552367,0.223565545467812,0.04307610995152131,1.0,-0.030560480532133897,0.061283222233878824,-0.007744391096494252,0.3474632954705912,0.04052833971436872,0.1437147957454834,0.01292372987100677,0.11729312428023723,-0.005353314424850964,-0.4689585857270852,-0.012504689802912349,-0.26714948134457817,-0.0027681600318065916,-0.08404421854046965,-0.004341115190118501,0.23918948285754837,-0.04859857889253412,-0.2745476160052228,-0.03314355527824769,0.021009543441430346,-0.027276364537549478,0.11534996844943843,0.07409531057858246,0.13585298723494144,0.1431691766497455,0.03895994326545669,0.017427642615942766,0.017175641724157736,0.023894609888329053
home_off_explosive_rate_form,0.2923116711772722,0.31286619092450946,0.2673769988909947,0.5957558735823039,0.042243629509106526,-0.03035840767269595,-0.024484739161532956,0.4526919253367047,0.033693573718033006,0.05889340119101767,-0.030560480532133897,1.0,0.026337835651127694,-0.12938748294691108,0.008871427007266078,0.22482259457329884,-0.011311202994280858,0.31065741864418667,0.009548520323940185,-0.00014994198482035385,0.05359005611914436,0.1824057895950437,0.06604549752884219,0.21904450525202648,0.0016118394287120005,-0.1740188378384765,-0.06822237477412832,0.3492796905217252,0.01491310890623506,0.0386882685891633,0.0027355198966413593,0.048759770813289936,-0.03619295381948399,0.11626108632036837,0.30543806631427717,0.3095831157954528,-0.07819230078284929,0.013561973663174475,-0.08771747746456696,0.03971374639520542
away_off_explosive_rate_form,-0.27732926236157773,-0.3404314583424464,-0.2788593198461266,0.038370798635221484,0.5942768610178742,0.027885622932385636,-0.05253311244689514,0.015758639300887188,0.4608924314459831,0.013364824803710602,0.061283222233878824,0.026337835651127694,1.0,0.022658382907498456,-0.13781182531593714,0.020342364655198772,0.24445238584290094,0.008647232848564229,0.3035615243582389,0.02932631935029541,-0.0013434385566860627,0.030226382268740207,0.16177770975189568,0.0221125836819821,0.2141725837815744,-0.037608146489027,-0.18941734501144547,0.03527225070054585,0.3346426818218086,0.038599881947055464,-0.044865782018352125,0.014439160334994993,-0.08692951646527318,0.06742100250993556,-0.24564989013737956,-0.2510650751416584,-0.030567597168643806,-0.12642812782168641,-0.051338843479190883,-0.09016218574800039
home_def_explosive_rate_form,-0.2927776270706334,-0.2887394342912558,-0.30597588390649666,-0.1305159173920051,-0.006028486384778644,0.499235815695003,0.027478135682829162,-0.10566274687292358,-0.012978069347973364,0.3675944487138279,-0.007744391096494252,-0.12938748294691108,0.022658382907498456,1.0,0.04969314868569703,-0.023634395299015398,-0.00569712379417752,-0.15668829016006794,-0.006229990299666074,-0.15763072403139022,-0.00476549251660301,-0.17070265616933072,-0.04276138786062663,-0.08428289325790311,-0.02842271334525763,0.13841716412621308,0.03352762951802476,-0.3734168844474559,-0.004814292975086643,-0.027747364391084956,-0.00178148343857768,0.06288258174614374,-0.01705696055704948,-0.013140848555497587,-0.25673657382635023,-0.26163547988278946,0.05172443444930012,0.03030665599590249,0.02492308964192778,-0.007666195288600095
away_def_explosive_rate_form,0.2908472200735673,0.309850155521742,0.30310899092253585,0.026633411101477395,-0.18101433678315898,0.09689060551164722,0.5091796147379356,0.018484377977827458,-0.16825843030009993,0.06911230761118047,0.3474632954705912,0.008871427007266078,-0.13781182531593714,0.04969314868569703,1.0,0.059873980410897996,-0.0132190228608032,0.03589049303892719,-0.20040422306807287,-0.024911529282025276,-0.19850449832381747,-0.052932362324921045,-0.23209298693233252,-0.04861208973588185,-0.11305371397934429,0.11488102040706796,0.19251801380156205,-0.03299329692200424,-0.3884599278968155,-0.015460216606927368,0.01768898772556169,0.022232174911794765,0.061289727098726855,0.04985867726014551,0.24194671117406083,0.24755758372538528,0.03435070451589031,0.04151460343556486,0.030547560741955315,0.021185016708214762
home_off_rz_td_rate_form,0.2243819961762549,0.16819478967345067,0.18107322096324208,0.4293556011685873,0.09158296843903588,0.07163926580254996,0.023536281148755948,0.4407421274158193,0.08415334087513836,0.09767169591987201,0.04052833971436872,0.22482259457329884,0.020342364655198772,-0.023634395299015398,0.059873980410897996,1.0,0.03181845154670963,0.357920808136234,0.07766625660601005,0.014175036927649232,-0.0139329867133466,0.13190034254419,0.024797637094821294,0.05867902990117178,0.04884599862689454,-0.06335087196188625,-0.12039015383765299,0.25170405137303054,0.01260242866996457,0.03699473864530902,0.0009748566529870463,0.019868396499912178,0.009591828492516755,0.09275408579252101,0.19043954194816848,0.19053105659127823,-0.05560034081034504,-0.0031257130912764925,-0.0715845419530441,0.031788191553857405
away_off_rz_td_rate_form,-0.22605888434975205,-0.18874813862149903,-0.1921988913142795,0.04265632109808385,0.43180890378703607,0.0456093948543067,0.09293821882509226,0.040324000786446206,0.4354905687009659,0.03775665678676313,0.1437147957454834,-0.011311202994280858,0.24445238584290094,-0.00569712379417752,-0.0132190228608032,0.03181845154670963,1.0,0.033706670470276895,0.3457397407875681,0.011809485911753657,-0.018593592836681154,-0.028143542740721117,0.11387671009787262,-0.02121890042472761,0.09474283756994763,-0.03381955019259929,-0.0580189843701574,0.02489720580851179,0.2548539841113218,0.008841635382347123,0.032005123018685834,-0.01589503480024674,-0.031535266461956105,0.02495652404175034,-0.16349408275857555,-0.1650130300672922,-0.04153911644899085,-0.045762947097533375,-0.020100398233441858,-0.046509608482388526
